FareClass,ObservationDate,Departure_Date,ORG,Dst,Carrier,Flight_Code,Dep_time,Arr_time,Apt_Fees,Gov_Tax,Total_Price_Non_Res,Base_Fare_Non_Res,Base_Fare_Non_Res_Calc,Airport_Fees_Res,Gov_Tax_Res,Total_Price_Res,Base_Fare_Res,Base_Fare_Res_Calc,Discount_Value,Discount_Value_Calc,Security,Security Tax,Currency
Flexible, 06/01/2019, 15/01/2019, BCN, MAH, IB, 5142, 17:15, 18:10, 19.24, , 531.0, 51.00, , 19.24, , 151, , 132.75, 398.25, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, MAH, IB, 5144, 19:55, 20:50, 19.24, , 70.0, , , 19.24, , 36, , 17.5, 52.5, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, MAH, IB, 5144, 19:55, 20:50, 19.24, , 531.0, , , 19.24, , 151, , 132.75, 398.25, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5148, 07:05, 07:55, 19.24, , 69.0, 50.00, , 19.24, , 36, , 17.25, 51.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5148, 07:05, 07:55, 19.24, , 502.0, 483.00, , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5134, 08:35, 09:25, 19.24, , 69.0, , , 19.24, , 36, , 17.25, 51.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5134, 08:35, 09:25, 19.24, , 502.0, 50.00, , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5033, 12:00, 12:50, 19.24, , 69.0, , , 19.24, , 36, , 17.25, 51.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5033, 12:00, 12:50, 19.24, , 502.0, , , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5422, 14:10, 15:00, 19.24, , 502.0, 483.00, , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5156, 16:00, 16:50, 19.24, , 69.0, , , 19.24, , 36, , 17.25, 51.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5156, 16:00, 16:50, 19.24, , 502.0, , , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5152, 17:00, 17:50, 19.24, , 69.0, , , 19.24, , 36, , 17.25, 51.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5152, 17:00, 17:50, 19.24, , 502.0, , , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5154, 18:00, 18:50, 19.24, , 69.0, , , 19.24, , 36, , 17.25, 51.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5154, 18:00, 18:50, 19.24, , 502.0, 50.00, , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5162, 20:15, 21:05, 19.24, , 69.0, 50.00, , 19.24, , 36, , 17.25, 51.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5162, 20:15, 21:05, 19.24, , 502.0, , , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5158, 22:40, 23:30, 19.24, , 69.0, , , 19.24, , 36, , 17.25, 51.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, PMI, IB, 5158, 22:40, 23:30, 19.24, , 502.0, , , 19.24, , 144, , 125.5, 376.5, , 3.66, 0.64, €
